"2009","Latvia","18.2","1"
"2010","Latvia","19.8","532"
"2011","Latvia","16.2","-434"
"2012","Latvia","14.9","-371"
"1983","Lithuania",":",":"
"1984","Lithuania",":",":"
"1985","Lithuania",":",":"
"1986","Lithuania",":",":"
"1987","Lithuania",":",":"
"1988","Lithuania",":",":"
"1989","Lithuania",":",":"
"1990","Lithuania",":",":"
"1991","Lithuania",":",":"
"1992","Lithuania",":",":"
"1993","Lithuania",":","-73"
"1994","Lithuania",":","-92"
"1995","Lithuania",":","-472"
"1996","Lithuania",":","-569"
"1997","Lithuania",":","-866"
"1998","Lithuania","13.2","-1"
"1999","Lithuania","14.6","-1"
"2000","Lithuania","16.4","-738"
"2001","Lithuania","17.4","-640"
"2002","Lithuania","13.8","-772"
"2003","Lithuania","12.4","-1"
"2004","Lithuania","11.3","-1"
"2005","Lithuania","8.0","-1"
"2006","Lithuania","5.2","-2"
"2007","Lithuania","3.8","-4"
"2008","Lithuania","5.3","-4"
"2009","Lithuania","13.6","996"
"2010","Lithuania","18.0","20"
"2011","Lithuania","15.3","-1"
"2012","Lithuania","13.3","-167"
"1983","Luxembourg","3.4",":"
"1984","Luxembourg","3.0",":"
"1985","Luxembourg","2.9",":"
"1986","Luxembourg","2.6",":"
"1987","Luxembourg","2.5",":"
"1988","Luxembourg","2.0",":"
"1989","Luxembourg","1.8",":"
"1990","Luxembourg","1.7",":"
"1991","Luxembourg","1.6",":"
"1992","Luxembourg","2.1",":"
"1993","Luxembourg","2.6",":"
"1994","Luxembourg","3.2",":"
"1995","Luxembourg","2.9","1"
"1996","Luxembourg","2.9","1"
"1997","Luxembourg","2.7","1"
"1998","Luxembourg","2.7","1"
"1999","Luxembourg","2.4","1"
"2000","Luxembourg","2.2","2"
"2001","Luxembourg","1.9","1"
"2002","Luxembourg","2.6","2"
"2003","Luxembourg","3.8","2"
"2004","Luxembourg","5.0","3"
"2005","Luxembourg","4.6","3"
"2006","Luxembourg","4.6","3"
"2007","Luxembourg","4.2","3"
"2008","Luxembourg","4.9","2"
"2009","Luxembourg","5.1","2"
"2010","Luxembourg","4.6","3"
"2011","Luxembourg","4.8","3"
"2012","Luxembourg","5.1","2"
"1983","Hungary",":",":"
"1984","Hungary",":",":"
"1985","Hungary",":",":"
"1986","Hungary",":",":"
"1987","Hungary",":",":"
"1988","Hungary",":",":"
"1989","Hungary",":",":"
"1990","Hungary",":",":"
"1991","Hungary",":",":"
"1992","Hungary",":",":"
"1993","Hungary",":","-3"
"1994","Hungary",":","-3"
"1995","Hungary",":","-1"
"1996","Hungary","9.9","-1"
"1997","Hungary","9.1","-849"
"1998","Hungary","8.7","-2"
"1999","Hungary","6.9","-3"
"2000","Hungary","6.3","-4"
"2001","Hungary","5.6","-3"
"2002","Hungary","5.6","-4"
"2003","Hungary","5.8","-5"
"2004","Hungary","6.1","-6"
"2005","Hungary","7.2","-6"
"2006","Hungary","7.5","-6"
"2007","Hungary","7.4","-7"
"2008","Hungary","7.8","-7"
"2009","Hungary","10.0","-176"
"2010","Hungary","11.2","1"
"2011","Hungary","10.9","816"
"2012","Hungary","10.9","1"
"1983","Malta",":",":"
"1984","Malta",":",":"
"1985","Malta",":",":"
"1986","Malta",":",":"
"1987","Malta",":",":"
"1988","Malta",":",":"
"1989","Malta",":",":"
"1990","Malta",":",":"
"1991","Malta",":",":"
"1992","Malta",":",":"
"1993","Malta",":",":"
"1994","Malta",":",":"
"1995","Malta",":","-278"
"1996","Malta",":","-320"
"1997","Malta",":","-173"
"1998","Malta",":","-193"
"1999","Malta",":","-118"
"2000","Malta","6.7","-533"
"2001","Malta","7.6","-165"
"2002","Malta","7.4","108"
"2003","Malta","7.7","-138"
"2004","Malta","7.2","-269"
"2005","Malta","7.3","-421"
"2006","Malta","6.9","-497"
"2007","Malta","6.5","-343"
"2008","Malta","6.0","-294"
"2009","Malta","6.9","-439"
