"TIME","GEO","CURRENCY","POST","FLOW","PARTNER","Value","Flag and Footnotes"
"2007","Cyprus","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-1 865",""
"2008","Cyprus","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-2 679",""
"2009","Cyprus","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-1 808",""
"2010","Cyprus","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-1 711",""
"2011","Cyprus","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-849",""
"2012","Cyprus","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-2 093",""
"1975","Latvia","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1976","Latvia","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1977","Latvia","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1978","Latvia","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1979","Latvia","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1980","Latvia","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1981","Latvia","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1982","Latvia","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1983","Latvia","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1984","Latvia","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1985","Latvia","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1986","Latvia","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1987","Latvia","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1988","Latvia","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1989","Latvia","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1990","Latvia","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1991","Latvia","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1992","Latvia","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1993","Latvia","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","359",""
"1994","Latvia","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","170",""
"1995","Latvia","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-12",""
"1996","Latvia","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-220",""
"1997","Latvia","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-306",""
"1998","Latvia","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-572",""
"1999","Latvia","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-608",""
"2000","Latvia","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-412",""
"2001","Latvia","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-707",""
"2002","Latvia","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-653",""
"2003","Latvia","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-814",""
"2004","Latvia","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-1 439",""
"2005","Latvia","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-1 626",""
"2006","Latvia","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-3 603",""
"2007","Latvia","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-4 710",""
"2008","Latvia","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-3 014",""
"2009","Latvia","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","1 598",""
"2010","Latvia","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","532",""
"2011","Latvia","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-434",""
"2012","Latvia","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-371",""
"1975","Lithuania","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1976","Lithuania","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1977","Lithuania","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1978","Lithuania","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1979","Lithuania","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1980","Lithuania","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1981","Lithuania","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1982","Lithuania","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1983","Lithuania","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1984","Lithuania","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1985","Lithuania","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1986","Lithuania","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1987","Lithuania","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1988","Lithuania","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1989","Lithuania","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1990","Lithuania","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1991","Lithuania","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1992","Lithuania","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1993","Lithuania","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-73",""
"1994","Lithuania","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-92",""
"1995","Lithuania","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-472",""
"1996","Lithuania","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-569",""
"1997","Lithuania","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-866",""
"1998","Lithuania","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-1 153",""
"1999","Lithuania","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-1 127",""
"2000","Lithuania","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-738",""
"2001","Lithuania","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-640",""
"2002","Lithuania","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-772",""
"2003","Lithuania","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-1 116",""
"2004","Lithuania","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-1 393",""
"2005","Lithuania","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-1 482",""
"2006","Lithuania","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-2 551",""
"2007","Lithuania","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-4 149",""
"2008","Lithuania","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-4 194",""
"2009","Lithuania","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","996",""
"2010","Lithuania","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","20",""
"2011","Lithuania","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-1 151",""
"2012","Lithuania","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-167",""
"1975","Luxembourg","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1976","Luxembourg","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1977","Luxembourg","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1978","Luxembourg","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1979","Luxembourg","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1980","Luxembourg","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1981","Luxembourg","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1982","Luxembourg","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1983","Luxembourg","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1984","Luxembourg","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1985","Luxembourg","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1986","Luxembourg","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1987","Luxembourg","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1988","Luxembourg","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1989","Luxembourg","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1990","Luxembourg","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1991","Luxembourg","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1992","Luxembourg","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1993","Luxembourg","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1994","Luxembourg","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1995","Luxembourg","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","1 922",""
"1996","Luxembourg","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","1 824",""
"1997","Luxembourg","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","1 698",""
"1998","Luxembourg","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","1 584",""
"1999","Luxembourg","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","1 663",""
"2000","Luxembourg","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","2 909",""
"2001","Luxembourg","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","1 976",""
"2002","Luxembourg","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","2 526",""
"2003","Luxembourg","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","2 103",""
"2004","Luxembourg","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","3 255",""
"2005","Luxembourg","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","3 495",""
"2006","Luxembourg","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","3 516",""
"2007","Luxembourg","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","3 784",""
"2008","Luxembourg","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","2 002",""
"2009","Luxembourg","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","2 584",""
"2010","Luxembourg","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","3 283",""
"2011","Luxembourg","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","3 028",""
"2012","Luxembourg","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","2 466",""
"1975","Hungary","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1976","Hungary","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1977","Hungary","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1978","Hungary","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1979","Hungary","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1980","Hungary","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1981","Hungary","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1982","Hungary","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1983","Hungary","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1984","Hungary","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1985","Hungary","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1986","Hungary","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1987","Hungary","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1988","Hungary","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1989","Hungary","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1990","Hungary","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1991","Hungary","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1992","Hungary","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1993","Hungary","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-3 653",""
"1994","Hungary","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-3 408",""
"1995","Hungary","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-1 944",""
"1996","Hungary","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-1 325",""
"1997","Hungary","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-849",""
"1998","Hungary","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-2 036",""
"1999","Hungary","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-3 532",""
"2000","Hungary","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-4 353",""
"2001","Hungary","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-3 568",""
"2002","Hungary","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-4 923",""
"2003","Hungary","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-5 936",""
"2004","Hungary","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-6 832",""
"2005","Hungary","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-6 378",""
"2006","Hungary","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-6 634",""
"2007","Hungary","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-7 224",""
"2008","Hungary","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-7 728",""
"2009","Hungary","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-176",""
"2010","Hungary","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","1 063",""
"2011","Hungary","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","816",""
"2012","Hungary","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","1 594",""
"1975","Malta","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1976","Malta","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1977","Malta","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1978","Malta","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1979","Malta","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1980","Malta","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1981","Malta","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1982","Malta","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1983","Malta","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1984","Malta","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1985","Malta","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1986","Malta","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1987","Malta","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1988","Malta","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1989","Malta","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1990","Malta","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1991","Malta","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1992","Malta","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1993","Malta","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1994","Malta","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1995","Malta","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-278",""
"1996","Malta","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-320",""
"1997","Malta","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-173",""
"1998","Malta","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-193",""
"1999","Malta","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-118",""
"2000","Malta","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-533",""
"2001","Malta","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-165",""
"2002","Malta","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","108",""
"2003","Malta","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-138",""
"2004","Malta","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-269",""
"2005","Malta","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-421",""
"2006","Malta","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-497",""
"2007","Malta","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-343",""
"2008","Malta","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-294",""
"2009","Malta","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-439",""
"2010","Malta","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-299",""
"2011","Malta","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-10",""
"2012","Malta","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","24",""
"1975","Netherlands","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1976","Netherlands","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1977","Netherlands","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1978","Netherlands","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1979","Netherlands","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world",":",""
"1980","Netherlands","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-1 613",""
"1981","Netherlands","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","2 975",""
"1982","Netherlands","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","4 906",""
"1983","Netherlands","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","5 225",""
"1984","Netherlands","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","6 842",""
"1985","Netherlands","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","6 043",""
"1986","Netherlands","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","4 438",""
"1987","Netherlands","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","3 397",""
"1988","Netherlands","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","5 802",""
"1989","Netherlands","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","8 285",""
"1990","Netherlands","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","6 320",""
"1991","Netherlands","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","6 045",""
"1992","Netherlands","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","5 268",""
"1993","Netherlands","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","11 337",""
"1994","Netherlands","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","15 010",""
"1995","Netherlands","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","20 211",""
"1996","Netherlands","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","17 286",""
"1997","Netherlands","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","22 463",""
"1998","Netherlands","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","11 719",""
"1999","Netherlands","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","15 075",""
"2000","Netherlands","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","8 546",""
"2001","Netherlands","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","11 642",""
"2002","Netherlands","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","12 297",""
"2003","Netherlands","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","26 435",""
"2004","Netherlands","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","37 467",""
"2005","Netherlands","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","37 995",""
"2006","Netherlands","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","50 680",""
"2007","Netherlands","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","38 424",""
"2008","Netherlands","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","25 494",""
