"TIME","GEO","CURRENCY","POST","FLOW","PARTNER","Value","Flag and Footnotes"
"2000","Denmark","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","2 443",""
"2001","Denmark","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","5 609",""
"2002","Denmark","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","4 590",""
"2003","Denmark","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","6 500",""
"2004","Denmark","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","5 939",""
"2005","Denmark","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","9 008",""
"2006","Denmark","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","6 515",""
"2007","Denmark","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","3 093",""
"2008","Denmark","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","6 774",""
"2009","Denmark","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","7 595",""
"2010","Denmark","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","13 915",""
"2011","Denmark","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","13 582",""
"2012","Denmark","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","12 818",""
"1975","Germany (until 1990 former territory of the FRG)","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","3 907",""
"1976","Germany (until 1990 former territory of the FRG)","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","3 416",""
"1977","Germany (until 1990 former territory of the FRG)","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","3 641",""
"1978","Germany (until 1990 former territory of the FRG)","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","7 117",""
"1979","Germany (until 1990 former territory of the FRG)","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-4 147",""
"1980","Germany (until 1990 former territory of the FRG)","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-11 213",""
"1981","Germany (until 1990 former territory of the FRG)","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-4 616",""
"1982","Germany (until 1990 former territory of the FRG)","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","5 745",""
"1983","Germany (until 1990 former territory of the FRG)","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","4 723",""
"1984","Germany (until 1990 former territory of the FRG)","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","12 076",""
"1985","Germany (until 1990 former territory of the FRG)","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","23 049",""
"1986","Germany (until 1990 former territory of the FRG)","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","39 196",""
"1987","Germany (until 1990 former territory of the FRG)","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","38 223",""
"1988","Germany (until 1990 former territory of the FRG)","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","45 633",""
"1989","Germany (until 1990 former territory of the FRG)","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","51 826",""
"1990","Germany (until 1990 former territory of the FRG)","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","37 294",""
"1991","Germany (until 1990 former territory of the FRG)","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-19 535",""
"1992","Germany (until 1990 former territory of the FRG)","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-17 515",""
"1993","Germany (until 1990 former territory of the FRG)","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-16 249",""
"1994","Germany (until 1990 former territory of the FRG)","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-25 708",""
"1995","Germany (until 1990 former territory of the FRG)","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-22 599",""
"1996","Germany (until 1990 former territory of the FRG)","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-11 116",""
"1997","Germany (until 1990 former territory of the FRG)","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-8 880",""
"1998","Germany (until 1990 former territory of the FRG)","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-14 539",""
"1999","Germany (until 1990 former territory of the FRG)","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-25 834",""
"2000","Germany (until 1990 former territory of the FRG)","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-35 459",""
"2001","Germany (until 1990 former territory of the FRG)","Million euro (from 1.1.1999)/Million ECU (up to 31.12.1998)","Current account","Net","All countries of the world","-12",""
