"TIME","GEO","S_ADJ","AGE","SEX","Value","Flag and Footnotes"
"1985","Croatia","Not seasonally adjusted data","Total","Total",":",""
"1986","Croatia","Not seasonally adjusted data","Total","Total",":",""
"1987","Croatia","Not seasonally adjusted data","Total","Total",":",""
"1988","Croatia","Not seasonally adjusted data","Total","Total",":",""
"1989","Croatia","Not seasonally adjusted data","Total","Total",":",""
"1990","Croatia","Not seasonally adjusted data","Total","Total",":",""
"1991","Croatia","Not seasonally adjusted data","Total","Total",":",""
"1992","Croatia","Not seasonally adjusted data","Total","Total",":",""
"1993","Croatia","Not seasonally adjusted data","Total","Total",":",""
"1994","Croatia","Not seasonally adjusted data","Total","Total",":",""
"1995","Croatia","Not seasonally adjusted data","Total","Total",":",""
"1996","Croatia","Not seasonally adjusted data","Total","Total",":",""
"1997","Croatia","Not seasonally adjusted data","Total","Total",":",""
"1998","Croatia","Not seasonally adjusted data","Total","Total",":",""
"1999","Croatia","Not seasonally adjusted data","Total","Total",":",""
"2000","Croatia","Not seasonally adjusted data","Total","Total",":",""
"2001","Croatia","Not seasonally adjusted data","Total","Total",":",""
"2002","Croatia","Not seasonally adjusted data","Total","Total","14.8",""
"2003","Croatia","Not seasonally adjusted data","Total","Total","14.2",""
"2004","Croatia","Not seasonally adjusted data","Total","Total","13.7",""
"2005","Croatia","Not seasonally adjusted data","Total","Total","12.7",""
"2006","Croatia","Not seasonally adjusted data","Total","Total","11.2",""
"2007","Croatia","Not seasonally adjusted data","Total","Total","9.0",""
"2008","Croatia","Not seasonally adjusted data","Total","Total","8.4",""
"2009","Croatia","Not seasonally adjusted data","Total","Total","9.1",""
"2010","Croatia","Not seasonally adjusted data","Total","Total","11.8",""
"2011","Croatia","Not seasonally adjusted data","Total","Total","13.5",""
"2012","Croatia","Not seasonally adjusted data","Total","Total","15.9",""
"1983","Turkey","Not seasonally adjusted data","Total","Total",":",""
"1984","Turkey","Not seasonally adjusted data","Total","Total",":",""
"1985","Turkey","Not seasonally adjusted data","Total","Total",":",""
"1986","Turkey","Not seasonally adjusted data","Total","Total",":",""
"1987","Turkey","Not seasonally adjusted data","Total","Total",":",""
"1988","Turkey","Not seasonally adjusted data","Total","Total",":",""
"1989","Turkey","Not seasonally adjusted data","Total","Total",":",""
"1990","Turkey","Not seasonally adjusted data","Total","Total",":",""
"1991","Turkey","Not seasonally adjusted data","Total","Total",":",""
"1992","Turkey","Not seasonally adjusted data","Total","Total",":",""
"1993","Turkey","Not seasonally adjusted data","Total","Total",":",""
"1994","Turkey","Not seasonally adjusted data","Total","Total",":",""
"1995","Turkey","Not seasonally adjusted data","Total","Total",":",""
"1996","Turkey","Not seasonally adjusted data","Total","Total",":",""
"1997","Turkey","Not seasonally adjusted data","Total","Total",":",""
"1998","Turkey","Not seasonally adjusted data","Total","Total",":",""
"1999","Turkey","Not seasonally adjusted data","Total","Total",":",""
"2000","Turkey","Not seasonally adjusted data","Total","Total",":",""
"2001","Turkey","Not seasonally adjusted data","Total","Total",":",""
"2002","Turkey","Not seasonally adjusted data","Total","Total",":",""
"2003","Turkey","Not seasonally adjusted data","Total","Total",":",""
"2004","Turkey","Not seasonally adjusted data","Total","Total",":",""
"2005","Turkey","Not seasonally adjusted data","Total","Total","9.2",""
"2006","Turkey","Not seasonally adjusted data","Total","Total","8.7",""
"2007","Turkey","Not seasonally adjusted data","Total","Total","8.8","b"
"2008","Turkey","Not seasonally adjusted data","Total","Total","9.7",""
"2009","Turkey","Not seasonally adjusted data","Total","Total","12.5",""
"2010","Turkey","Not seasonally adjusted data","Total","Total","10.7",""
"2011","Turkey","Not seasonally adjusted data","Total","Total","8.8",""
"2012","Turkey","Not seasonally adjusted data","Total","Total","8.1",""
