"TIME","GEO","S_ADJ","AGE","SEX","Value","Flag and Footnotes"
"1993","Estonia","Not seasonally adjusted data","Total","Total",":",""
"1994","Estonia","Not seasonally adjusted data","Total","Total",":",""
"1995","Estonia","Not seasonally adjusted data","Total","Total",":",""
"1996","Estonia","Not seasonally adjusted data","Total","Total",":",""
"1997","Estonia","Not seasonally adjusted data","Total","Total",":",""
"1998","Estonia","Not seasonally adjusted data","Total","Total",":",""
"1999","Estonia","Not seasonally adjusted data","Total","Total",":",""
"2000","Estonia","Not seasonally adjusted data","Total","Total","13.6",""
"2001","Estonia","Not seasonally adjusted data","Total","Total","12.6",""
"2002","Estonia","Not seasonally adjusted data","Total","Total","10.3",""
"2003","Estonia","Not seasonally adjusted data","Total","Total","10.1",""
"2004","Estonia","Not seasonally adjusted data","Total","Total","9.7",""
"2005","Estonia","Not seasonally adjusted data","Total","Total","7.9",""
"2006","Estonia","Not seasonally adjusted data","Total","Total","5.9",""
"2007","Estonia","Not seasonally adjusted data","Total","Total","4.6",""
"2008","Estonia","Not seasonally adjusted data","Total","Total","5.5",""
"2009","Estonia","Not seasonally adjusted data","Total","Total","13.8",""
"2010","Estonia","Not seasonally adjusted data","Total","Total","16.9",""
"2011","Estonia","Not seasonally adjusted data","Total","Total","12.5",""
"2012","Estonia","Not seasonally adjusted data","Total","Total","10.2",""
"1983","Ireland","Not seasonally adjusted data","Total","Total","13.9",""
"1984","Ireland","Not seasonally adjusted data","Total","Total","15.5",""
"1985","Ireland","Not seasonally adjusted data","Total","Total","16.8",""
"1986","Ireland","Not seasonally adjusted data","Total","Total","16.8",""
"1987","Ireland","Not seasonally adjusted data","Total","Total","16.6",""
"1988","Ireland","Not seasonally adjusted data","Total","Total","16.2",""
"1989","Ireland","Not seasonally adjusted data","Total","Total","14.7",""
"1990","Ireland","Not seasonally adjusted data","Total","Total","13.4",""
"1991","Ireland","Not seasonally adjusted data","Total","Total","14.7",""
"1992","Ireland","Not seasonally adjusted data","Total","Total","15.4",""
"1993","Ireland","Not seasonally adjusted data","Total","Total","15.6",""
"1994","Ireland","Not seasonally adjusted data","Total","Total","14.3",""
"1995","Ireland","Not seasonally adjusted data","Total","Total","12.3",""
"1996","Ireland","Not seasonally adjusted data","Total","Total","11.7",""
"1997","Ireland","Not seasonally adjusted data","Total","Total","9.9",""
"1998","Ireland","Not seasonally adjusted data","Total","Total","7.5",""
"1999","Ireland","Not seasonally adjusted data","Total","Total","5.6",""
"2000","Ireland","Not seasonally adjusted data","Total","Total","4.2",""
"2001","Ireland","Not seasonally adjusted data","Total","Total","3.9",""
"2002","Ireland","Not seasonally adjusted data","Total","Total","4.5",""
"2003","Ireland","Not seasonally adjusted data","Total","Total","4.6",""
"2004","Ireland","Not seasonally adjusted data","Total","Total","4.5",""
"2005","Ireland","Not seasonally adjusted data","Total","Total","4.4",""
"2006","Ireland","Not seasonally adjusted data","Total","Total","4.5",""
"2007","Ireland","Not seasonally adjusted data","Total","Total","4.7",""
"2008","Ireland","Not seasonally adjusted data","Total","Total","6.4",""
"2009","Ireland","Not seasonally adjusted data","Total","Total","12.0",""
"2010","Ireland","Not seasonally adjusted data","Total","Total","13.9",""
"2011","Ireland","Not seasonally adjusted data","Total","Total","14.7",""
"2012","Ireland","Not seasonally adjusted data","Total","Total","14.7",""
"1983","Greece","Not seasonally adjusted data","Total","Total",":",""
"1984","Greece","Not seasonally adjusted data","Total","Total",":",""
"1985","Greece","Not seasonally adjusted data","Total","Total",":",""
"1986","Greece","Not seasonally adjusted data","Total","Total",":",""
"1987","Greece","Not seasonally adjusted data","Total","Total",":",""
"1988","Greece","Not seasonally adjusted data","Total","Total",":",""
"1989","Greece","Not seasonally adjusted data","Total","Total",":",""
"1990","Greece","Not seasonally adjusted data","Total","Total",":",""
"1991","Greece","Not seasonally adjusted data","Total","Total",":",""
"1992","Greece","Not seasonally adjusted data","Total","Total",":",""
"1993","Greece","Not seasonally adjusted data","Total","Total",":",""
"1994","Greece","Not seasonally adjusted data","Total","Total",":",""
"1995","Greece","Not seasonally adjusted data","Total","Total",":",""
"1996","Greece","Not seasonally adjusted data","Total","Total",":",""
"1997","Greece","Not seasonally adjusted data","Total","Total",":",""
"1998","Greece","Not seasonally adjusted data","Total","Total","11.1",""
"1999","Greece","Not seasonally adjusted data","Total","Total","12.0",""
"2000","Greece","Not seasonally adjusted data","Total","Total","11.2",""
"2001","Greece","Not seasonally adjusted data","Total","Total","10.7",""
"2002","Greece","Not seasonally adjusted data","Total","Total","10.3",""
"2003","Greece","Not seasonally adjusted data","Total","Total","9.7",""
"2004","Greece","Not seasonally adjusted data","Total","Total","10.5",""
"2005","Greece","Not seasonally adjusted data","Total","Total","9.9",""
"2006","Greece","Not seasonally adjusted data","Total","Total","8.9",""
"2007","Greece","Not seasonally adjusted data","Total","Total","8.3",""
"2008","Greece","Not seasonally adjusted data","Total","Total","7.7",""
"2009","Greece","Not seasonally adjusted data","Total","Total","9.5",""
"2010","Greece","Not seasonally adjusted data","Total","Total","12.6",""
"2011","Greece","Not seasonally adjusted data","Total","Total","17.7",""
"2012","Greece","Not seasonally adjusted data","Total","Total","24.3",""
"1983","Spain","Not seasonally adjusted data","Total","Total",":",""
"1984","Spain","Not seasonally adjusted data","Total","Total",":",""
"1985","Spain","Not seasonally adjusted data","Total","Total",":",""
"1986","Spain","Not seasonally adjusted data","Total","Total",":",""
"1987","Spain","Not seasonally adjusted data","Total","Total","18.5",""
"1988","Spain","Not seasonally adjusted data","Total","Total","17.5",""
"1989","Spain","Not seasonally adjusted data","Total","Total","15.5",""
"1990","Spain","Not seasonally adjusted data","Total","Total","14.4",""
"1991","Spain","Not seasonally adjusted data","Total","Total","14.5",""
"1992","Spain","Not seasonally adjusted data","Total","Total","16.3",""
"1993","Spain","Not seasonally adjusted data","Total","Total","20.1",""
"1994","Spain","Not seasonally adjusted data","Total","Total","21.3",""
"1995","Spain","Not seasonally adjusted data","Total","Total","20.0",""
"1996","Spain","Not seasonally adjusted data","Total","Total","19.1",""
"1997","Spain","Not seasonally adjusted data","Total","Total","17.8",""
"1998","Spain","Not seasonally adjusted data","Total","Total","15.9",""
"1999","Spain","Not seasonally adjusted data","Total","Total","13.2",""
"2000","Spain","Not seasonally adjusted data","Total","Total","11.7",""
"2001","Spain","Not seasonally adjusted data","Total","Total","10.5",""
"2002","Spain","Not seasonally adjusted data","Total","Total","11.4",""
"2003","Spain","Not seasonally adjusted data","Total","Total","11.4",""
"2004","Spain","Not seasonally adjusted data","Total","Total","10.9",""
"2005","Spain","Not seasonally adjusted data","Total","Total","9.2",""
"2006","Spain","Not seasonally adjusted data","Total","Total","8.5",""
"2007","Spain","Not seasonally adjusted data","Total","Total","8.3",""
"2008","Spain","Not seasonally adjusted data","Total","Total","11.3",""
"2009","Spain","Not seasonally adjusted data","Total","Total","18.0",""
"2010","Spain","Not seasonally adjusted data","Total","Total","20.1",""
"2011","Spain","Not seasonally adjusted data","Total","Total","21.7",""
"2012","Spain","Not seasonally adjusted data","Total","Total","25.0",""
"1983","France","Not seasonally adjusted data","Total","Total","7.1",""
"1984","France","Not seasonally adjusted data","Total","Total","8.5",""
"1985","France","Not seasonally adjusted data","Total","Total","8.9",""
"1986","France","Not seasonally adjusted data","Total","Total","9.1",""
"1987","France","Not seasonally adjusted data","Total","Total","9.3",""
"1988","France","Not seasonally adjusted data","Total","Total","8.8",""
"1989","France","Not seasonally adjusted data","Total","Total","8.4",""
"1990","France","Not seasonally adjusted data","Total","Total","8.0",""
"1991","France","Not seasonally adjusted data","Total","Total","8.4",""
"1992","France","Not seasonally adjusted data","Total","Total","9.3",""
"1993","France","Not seasonally adjusted data","Total","Total","10.6",""
"1994","France","Not seasonally adjusted data","Total","Total","11.1",""
"1995","France","Not seasonally adjusted data","Total","Total","10.5",""
"1996","France","Not seasonally adjusted data","Total","Total","11.0",""
"1997","France","Not seasonally adjusted data","Total","Total","11.1",""
"1998","France","Not seasonally adjusted data","Total","Total","10.7",""
"1999","France","Not seasonally adjusted data","Total","Total","10.4",""
"2000","France","Not seasonally adjusted data","Total","Total","9.0",""
"2001","France","Not seasonally adjusted data","Total","Total","8.2",""
"2002","France","Not seasonally adjusted data","Total","Total","8.3",""
"2003","France","Not seasonally adjusted data","Total","Total","8.9",""
"2004","France","Not seasonally adjusted data","Total","Total","9.3",""
"2005","France","Not seasonally adjusted data","Total","Total","9.3",""
"2006","France","Not seasonally adjusted data","Total","Total","9.2",""
"2007","France","Not seasonally adjusted data","Total","Total","8.4",""
"2008","France","Not seasonally adjusted data","Total","Total","7.8",""
"2009","France","Not seasonally adjusted data","Total","Total","9.5",""
"2010","France","Not seasonally adjusted data","Total","Total","9.7",""
"2011","France","Not seasonally adjusted data","Total","Total","9.6",""
"2012","France","Not seasonally adjusted data","Total","Total","10.2",""
"1983","Italy","Not seasonally adjusted data","Total","Total","7.4","p"
"1984","Italy","Not seasonally adjusted data","Total","Total","7.9","p"
"1985","Italy","Not seasonally adjusted data","Total","Total","8.2","p"
"1986","Italy","Not seasonally adjusted data","Total","Total","8.9","p"
"1987","Italy","Not seasonally adjusted data","Total","Total","9.6","p"
"1988","Italy","Not seasonally adjusted data","Total","Total","9.7","p"
"1989","Italy","Not seasonally adjusted data","Total","Total","9.7","p"
"1990","Italy","Not seasonally adjusted data","Total","Total","8.9","p"
"1991","Italy","Not seasonally adjusted data","Total","Total","8.5","p"
"1992","Italy","Not seasonally adjusted data","Total","Total","8.8",""
"1993","Italy","Not seasonally adjusted data","Total","Total","9.7",""
"1994","Italy","Not seasonally adjusted data","Total","Total","10.6",""
"1995","Italy","Not seasonally adjusted data","Total","Total","11.2",""
"1996","Italy","Not seasonally adjusted data","Total","Total","11.2",""
"1997","Italy","Not seasonally adjusted data","Total","Total","11.2",""
"1998","Italy","Not seasonally adjusted data","Total","Total","11.3",""
"1999","Italy","Not seasonally adjusted data","Total","Total","10.9",""
"2000","Italy","Not seasonally adjusted data","Total","Total","10.0",""
"2001","Italy","Not seasonally adjusted data","Total","Total","9.0",""
"2002","Italy","Not seasonally adjusted data","Total","Total","8.5",""
"2003","Italy","Not seasonally adjusted data","Total","Total","8.4",""
"2004","Italy","Not seasonally adjusted data","Total","Total","8.0",""
"2005","Italy","Not seasonally adjusted data","Total","Total","7.7",""
"2006","Italy","Not seasonally adjusted data","Total","Total","6.8",""
"2007","Italy","Not seasonally adjusted data","Total","Total","6.1",""
"2008","Italy","Not seasonally adjusted data","Total","Total","6.7",""
"2009","Italy","Not seasonally adjusted data","Total","Total","7.8",""
"2010","Italy","Not seasonally adjusted data","Total","Total","8.4",""
"2011","Italy","Not seasonally adjusted data","Total","Total","8.4",""
"2012","Italy","Not seasonally adjusted data","Total","Total","10.7",""
"1983","Cyprus","Not seasonally adjusted data","Total","Total",":",""
"1984","Cyprus","Not seasonally adjusted data","Total","Total",":",""
"1985","Cyprus","Not seasonally adjusted data","Total","Total",":",""
"1986","Cyprus","Not seasonally adjusted data","Total","Total",":",""
"1987","Cyprus","Not seasonally adjusted data","Total","Total",":",""
"1988","Cyprus","Not seasonally adjusted data","Total","Total",":",""
"1989","Cyprus","Not seasonally adjusted data","Total","Total",":",""
"1990","Cyprus","Not seasonally adjusted data","Total","Total",":",""
"1991","Cyprus","Not seasonally adjusted data","Total","Total",":",""
"1992","Cyprus","Not seasonally adjusted data","Total","Total",":",""
"1993","Cyprus","Not seasonally adjusted data","Total","Total",":",""
"1994","Cyprus","Not seasonally adjusted data","Total","Total",":",""
"1995","Cyprus","Not seasonally adjusted data","Total","Total",":",""
"1996","Cyprus","Not seasonally adjusted data","Total","Total",":",""
"1997","Cyprus","Not seasonally adjusted data","Total","Total",":",""
"1998","Cyprus","Not seasonally adjusted data","Total","Total",":",""
"1999","Cyprus","Not seasonally adjusted data","Total","Total",":",""
"2000","Cyprus","Not seasonally adjusted data","Total","Total","4.8",""
"2001","Cyprus","Not seasonally adjusted data","Total","Total","3.9",""
"2002","Cyprus","Not seasonally adjusted data","Total","Total","3.5",""
"2003","Cyprus","Not seasonally adjusted data","Total","Total","4.1",""
"2004","Cyprus","Not seasonally adjusted data","Total","Total","4.6",""
"2005","Cyprus","Not seasonally adjusted data","Total","Total","5.3",""
"2006","Cyprus","Not seasonally adjusted data","Total","Total","4.6",""
"2007","Cyprus","Not seasonally adjusted data","Total","Total","3.9",""
"2008","Cyprus","Not seasonally adjusted data","Total","Total","3.7",""
"2009","Cyprus","Not seasonally adjusted data","Total","Total","5.4",""
"2010","Cyprus","Not seasonally adjusted data","Total","Total","6.3",""
"2011","Cyprus","Not seasonally adjusted data","Total","Total","7.9",""
"2012","Cyprus","Not seasonally adjusted data","Total","Total","11.9",""
"1983","Latvia","Not seasonally adjusted data","Total","Total",":",""
"1984","Latvia","Not seasonally adjusted data","Total","Total",":",""
"1985","Latvia","Not seasonally adjusted data","Total","Total",":",""
